"zip","city","county","pop"
"92078","San Marcos","San Diego","49034"
"92620","Irvine","Orange","48952"
"92544","Hemet","Riverside","48923"
"90047","Los Angeles","Los Angeles","48883"
"95148","San Jose","Santa Clara","48854"
"95240","Lodi","San Joaquin","48838"
"92127","San Diego","San Diego","48721"
"93611","Clovis","Fresno","48473"
"92122","San Diego","San Diego","48438"
"92109","San Diego","San Diego","48417"
"94577","San Leandro","Alameda","48088"
"94303","Palo Alto","San Mateo","48039"
"90025","Los Angeles","Los Angeles","47967"
"90065","Los Angeles","Los Angeles","47887"
"94116","San Francisco","San Francisco","47823"
"90032","Los Angeles","Los Angeles","47627"
"95336","Manteca","San Joaquin","47612"
"95136","San Jose","Santa Clara","47599"
"90033","Los Angeles","Los Angeles","47583"
"92692","Mission Viejo","Orange","47576"
"90247","Gardena","Los Angeles","47531"
"91352","Sun Valley","Los Angeles","47438"
"95060","Santa Cruz","Santa Cruz","47367"
"93720","Fresno","Fresno","47270"
"91765","Diamond Bar","Los Angeles","47139"
"91748","Rowland Heights","Los Angeles","47084"
"92879","Corona","Riverside","46920"
"92648","Huntington Beach","Orange","46890"
"90620","Buena Park","Orange","46842"
"90023","Los Angeles","Los Angeles","46780"
"95843","Antelope","Sacramento","46709"
"90016","Los Angeles","Los Angeles","46581"
"95008","Campbell","Santa Clara","46513"
"92705","Santa Ana","Orange","46470"
"94560","Newark","Alameda","46276"
"92040","Lakeside","San Diego","46261"
"92843","Garden Grove","Orange","46036"
"95610","Citrus Heights","Sacramento","45995"
"90059","Los Angeles","Los Angeles","45952"
"94566","Pleasanton","Alameda","45910"
"92058","Oceanside","San Diego","45894"
"92506","Riverside","Riverside","45854"
"92009","Carlsbad","San Diego","45827"
"93311","Bakersfield","Kern","45763"
"94551","Livermore","Alameda","45753"
"92410","San Bernardino","San Bernardino","45641"
"91320","Newbury Park","Ventura","45520"
"95403","Santa Rosa","Sonoma","45355"
"95822","Sacramento","Sacramento","45323"
"91367","Woodland Hills","Los Angeles","45282"
"91790","West Covina","Los Angeles","45206"
"92104","San Diego","San Diego","45202"
"92688","Rancho Santa Margarita","Orange","45178"
"93455","Santa Maria","Santa Barbara","45116"
"93010","Camarillo","Ventura","45092"
"92236","Coachella","Riverside","45090"
"91733","South El Monte","Los Angeles","44968"
"90503","Torrance","Los Angeles","44908"
"93446","Paso Robles","San Luis Obispo","44753"
"95307","Ceres","Stanislaus","44736"
"90027","Los Angeles","Los Angeles","44686"
"92867","Orange","Orange","44628"
"90043","Los Angeles","Los Angeles","44627"
"92102","San Diego","San Diego","44500"
"91606","North Hollywood","Los Angeles","44476"
"96003","Redding","Shasta","44475"
"91789","Walnut","Los Angeles","44474"
"95209","Stockton","San Joaquin","44313"
"94403","San Mateo","San Mateo","44300"
"94546","Castro Valley","Alameda","44272"
"94117","San Francisco","San Francisco","44239"
"90241","Downey","Los Angeles","44143"
"93702","Fresno","Fresno","44139"
"94928","Rohnert Park","Sonoma","44103"
"92555","Moreno Valley","Riverside","43957"
"94121","San Francisco","San Francisco","43795"
"94531","Antioch","Contra Costa","43788"
"91387","Canyon Country","Los Angeles","43717"
"92374","Redlands","San Bernardino","43633"
